y	a1	a2	a3	a4
12746	5288	2120	6844	285
13440	5522	1840	6946	313
11593	4783	2160	6475	338
11499	4986	2360	6198	372
12157	4886	1880	6274	458
13249	5650	1960	6840	350
13199	5232	2120	7660	382
10939	4948	2200	5740	281
10656	4836	2200	5585	377
13703	5482	2320	7743	333
10654	4409	1800	5687	236
11386	5496	2320	5564	343
13116	5372	2280	7504	422
12838	5355	1840	6860	305
13026	5403	1760	7061	313
11728	5151	2120	6022	325
10896	4955	2280	5766	305
12437	4575	2200	7542	239
11724	5490	1960	5657	304
12162	5730	1920	5728	301
12280	5161	1840	6250	249
12182	5454	1920	5974	254
12466	5109	1800	6621	364
11850	4792	1960	6281	424
12510	5274	2320	7060	314
13767	5622	1880	7100	445
11417	4888	2200	6339	358
12248	4746	2240	7028	329
12085	5521	2360	6530	317
10642	4773	1960	5230	294
11506	4822	2280	6219	348
11410	5010	1720	5537	323
11622	5683	1760	5342	327
13058	5860	2120	6607	359
10913	4512	2320	5991	395
11810	4919	2320	6700	353
12783	5651	2360	7151	314
12959	5819	1760	6154	308
12718	5568	1760	6511	329
12823	5162	2200	7075	307
11411	4985	1800	5627	324
11746	4501	1800	6594	364
11650	4872	1720	5774	255
13809	5690	1960	7286	350
12577	4523	2360	7634	387
11846	5259	2160	6010	274
11409	4554	2160	6400	238
11756	5561	2280	5975	385
11701	5358	1840	5651	228
13846	5690	1880	7304	444
12667	4822	1800	7224	229
12420	5108	1760	6320	342
11332	5346	2120	5732	326
11376	4935	1920	5838	284
12509	5104	1960	6674	272
11461	4948	2120	6157	310
11890	4684	1840	6565	366
11399	5376	2320	5905	373
13104	5696	2120	6855	342
13381	5279	1920	7466	294
11614	5872	2200	5519	227
11499	4488	1880	6225	406
12204	5215	2280	6643	414
11966	4787	1920	6472	273
11883	5484	2200	6021	318
11643	5025	1800	6011	272
11109	4847	1960	5462	374
12472	4694	2240	7576	309
12529	5206	2360	7343	242
11934	5091	2240	6667	331
13646	5812	1960	7478	273
13467	5754	1880	6822	304
11407	5350	1920	5202	412
14143	5692	1760	7538	365
11230	5059	2320	6081	314
12266	4858	1960	6771	286
13054	4527	1840	7800	265
11912	5465	1840	5705	293
13321	5034	1760	7470	325
11259	5026	2280	5961	250
11549	5100	2240	6162	339
11011	4545	1720	5515	279
10914	4695	2120	5880	405
11271	4504	1880	6106	280
11478	4606	2320	6625	347
11442	5442	1760	5410	244
12703	5503	2320	6774	347
13217	5024	2240	7682	309
11092	4394	1800	5899	357
11126	4794	2200	5644	433
12829	5674	2280	6637	300
11641	4393	1840	6594	314
12575	5190	2200	6761	354
13156	4975	1760	7480	259
12662	4937	2160	7381	289
10706	4746	2360	5533	418
13097	5880	1800	6443	395
11930	5882	1880	5363	301
12522	5127	2280	7032	338
11047	4717	2240	6156	308
11202	4848	2120	5988	309
12404	4555	1760	6973	402
11413	4636	2240	6705	227
10901	4983	2360	5576	383
12275	5583	1920	5925	407
12576	4994	1720	6817	358
11919	5197	1880	6178	349
11276	4482	2120	6364	256
13376	5134	1760	7367	317
13343	5073	1840	7725	335
13420	5326	1880	7414	331
13409	5611	2280	7587	358
13710	5753	1880	7166	365
11092	4542	2280	6076	331
13093	5055	1880	7368	279
12168	5112	2320	6520	376
11921	4574	2240	7232	350
12826	5453	1760	6557	260
10625	4553	2320	5693	277
12429	5112	1760	6246	335
12312	4778	1840	7008	259
12087	4817	2360	6856	300
12536	5038	2120	6801	329
12478	5473	1760	6420	316
12255	4519	2160	7220	360
12849	5376	2200	6996	343
13016	5077	2160	7350	320
12046	5673	1720	5331	404
11668	4732	2200	6336	337
11195	4740	2160	5884	270
11528	4760	1880	5962	219
12627	4460	1840	7203	421
12316	5841	1840	5785	328
11282	4960	2160	5983	242
14219	5938	1880	7570	415
11582	5364	1960	5761	325
12277	5159	2200	6982	291
12456	5477	2120	6559	367
11940	5440	2320	6193	318
12244	4532	2320	7311	405
10986	4754	1960	5931	242
12714	4740	1720	7267	294
12329	4674	2160	7538	259
11208	4760	2200	6184	367
10900	4799	1960	5555	320
14008	5831	1880	7449	404
13221	5291	2200	7469	309
12963	5922	1840	6219	284
10936	5010	2360	5922	277
14122	5559	1840	7607	327
11420	4778	1840	5706	374
11290	4751	2120	6309	220
12376	5507	1760	6251	344
11015	4974	2240	5905	254
12593	5970	2320	6245	300
11751	4800	1720	6175	349
11818	5226	1960	6085	262
12129	4824	1920	6510	282
12477	4493	1800	7178	414
14025	5719	1960	7560	339
12040	5743	1920	5686	340
11787	5039	2120	6429	287
12430	4635	2120	7270	315
11497	5463	2200	5677	351
13056	5526	2240	7100	310
11275	5142	2160	5544	292
11293	4600	2240	6424	436
11300	4954	2120	6016	311
11205	4587	1920	6215	246
12651	5803	2280	6352	354
12704	5692	1960	6406	417
13756	5216	1800	7626	347
12647	4730	2320	7536	329
13506	5053	1720	7387	364
11768	4879	2200	6241	350
11557	4925	1840	6132	305
12816	5643	2120	6697	302
12717	5265	2240	7189	327
11333	5248	1960	5214	383
11609	4622	1960	6403	275
11901	5195	2200	6433	395
13519	5293	1880	7286	331
11827	5433	2200	5911	255
11607	4465	2160	6901	255
11644	5036	1760	5936	324
12757	5333	1840	6717	313
12294	5052	2120	6845	254
11315	5212	2120	5754	243
11272	4684	2320	6286	358
11813	5975	2280	5648	333
13041	4675	1880	7549	329
10551	4547	2320	5658	253
10525	4645	2240	5539	351
12894	4973	2200	7534	292
12288	5312	2160	6501	289
11799	4605	1920	6550	303
11951	4992	1960	6174	366
11488	5000	2120	6202	375
13641	5275	1880	7639	292
13473	5229	1840	7677	295
12969	5046	1840	7402	232
11880	5612	2240	5822	243
11952	5986	2320	5677	237
11224	4950	2160	5863	255
11146	5046	2360	5834	392
12152	5726	2240	6017	350
13501	5772	1800	7048	259
12352	4756	2160	7085	235
11041	4625	2280	6193	317
12390	5326	1760	6066	431
11211	4671	2240	6042	244
11763	4529	1760	6260	422
13461	4996	1960	7676	325
11089	4988	1960	5513	269
12520	5150	1840	6835	310
11378	4794	2280	6365	273
12159	5230	1880	6254	341
12503	5313	2200	6958	224
11728	5299	1720	5772	292
12204	5021	1720	6282	304
10723	5095	2360	5539	366
11948	5117	2240	6224	428
12616	5568	2120	6459	409
11983	5872	2200	5546	377
11941	5213	2280	6335	229
10622	4352	2240	5988	428
11330	4609	1720	6014	250
13036	4800	1800	7353	420
12825	5041	2120	7153	252
12090	5535	2160	6337	372
11992	4502	1840	6553	332
12714	5893	1920	6097	250
12970	5126	1920	7321	319
13050	5723	1920	6626	434
11363	4339	1920	6475	263
10933	4875	2200	5596	327
11742	4601	1760	6316	351
12140	4901	1800	6192	411
10423	4655	2200	5531	320
10683	4665	2120	5414	258
12227	4951	1720	6607	251
11611	5612	2360	5544	368
13718	5556	1920	7594	320
11788	4971	2160	6525	327
12343	5621	1960	6246	342
12694	4760	1720	7211	350
11954	5601	1720	5679	279
11872	5281	2200	6230	228
12056	5086	1720	6250	390
12535	5400	1800	6281	216
11314	5197	1840	5443	305
13289	5625	1880	6893	402
13769	5725	1840	7125	326
11887	4469	1960	6636	259
13037	4964	1800	7137	309
12717	5568	1920	6641	296
11444	5307	2200	6052	229
12911	5450	2280	7134	340
12455	4576	2120	7572	327
12691	5203	2200	7447	232
11911	4582	2240	6971	227
14310	5835	1960	7814	257
11370	4473	2120	6334	298
12897	5701	2160	6682	256
11058	4455	2320	6305	345
11853	5410	2160	6290	246
10740	4542	1840	5536	249
11972	4683	1760	6402	301
11337	4921	1880	5532	306
12132	5163	1800	6063	279
11260	5196	2320	5870	384
13173	5769	2160	6914	302
11564	4931	1760	6028	276
11274	4633	2120	6095	295
12933	5845	1720	6353	425
10865	4781	2240	5835	243
11162	4536	2200	6254	422
11101	4925	2320	5796	381
11939	5022	1960	6353	248
11719	5373	2120	6237	223
10613	4545	2200	5875	343
12236	4454	1720	7042	294
13062	5370	2160	7266	303
13902	5899	2240	7431	345
12910	5373	2200	6939	416
10778	4456	2320	6130	391
12333	4918	1960	6539	376
12438	5381	2200	6830	309
12695	5797	2280	6292	414
11255	4789	2320	6332	319
12570	4427	2200	7779	270
11854	5044	2160	6311	422
12502	4928	2320	7336	315
11592	5695	2120	5381	325
13601	5086	1840	7661	390
10857	4952	2320	5539	399
12662	4744	2160	7383	332
13222	5537	2320	7399	322
11844	5358	2240	6164	263
13712	5542	1720	7458	299
12506	4824	1960	7231	335
12134	4598	1840	6697	336
10893	5173	2360	5473	251
12457	5261	2160	6709	253
11633	5310	1960	5988	257
